Year,Month,Day,Return
1973,1,2,0.8895
1973,1,3,0.3946
1973,1,4,-0.1422
1973,1,5,0.3936
1973,1,8,-0.0167
1973,1,9,-0.1001
1973,1,10,-0.2506
1973,1,11,0.6782
1973,1,12,-0.7818
1973,1,15,-0.7209
1973,1,16,-0.2533
1973,1,17,0.4571
1973,1,18,0.1432
1973,1,19,-0.0589
1973,1,22,-0.4799
1973,1,23,0.0085
1973,1,24,-1.2604
1973,1,26,-0.2399
1973,1,29,-0.3778
1973,1,30,-0.1552
1973,1,31,0.1727
1973,2,1,-1.0945
1973,2,2,-0.3573
1973,2,5,-0.1049
1973,2,6,0.1926
1973,2,7,-0.6903
1973,2,8,-0.4399
1973,2,9,1.3432
1973,2,12,1.2033
1973,2,13,0.6204
1973,2,14,-1.4386
1973,2,15,-0.5647
1973,2,16,0.4631
1973,2,20,0.3653
1973,2,21,-0.6153
1973,2,22,-0.218
1973,2,23,-1.1185
1973,2,26,-0.8572
1973,2,27,-1.1498
1973,2,28,0.7033
1973,3,1,-0.5641
1973,3,2,1.1076
1973,3,5,0.3563
1973,3,6,1.2602
1973,3,7,0.3067
1973,3,8,-0.1922
1973,3,9,-0.3852
1973,3,12,0.0615
1973,3,13,0.5445
1973,3,14,0.4368
1973,3,15,-0.748
1973,3,16,-0.5082
1973,3,19,-1.2066
1973,3,20,-0.1961
1973,3,21,-1.3042
1973,3,22,-1.4933
1973,3,23,0.0368
1973,3,26,0.8817
1973,3,27,1.5659
1973,3,28,0.0538
1973,3,29,0.9765
1973,3,30,-1.0558
1973,4,2,-1.2016
1973,4,3,-0.8531
1973,4,4,-0.4302
1973,4,5,-0.2298
1973,4,6,0.7003
1973,4,9,1.4458
1973,4,10,1.2178
1973,4,11,0.4189
1973,4,12,-0.0887
1973,4,13,-0.4441
1973,4,16,-0.571
1973,4,17,-0.4487
1973,4,18,0.5408
1973,4,19,0.5648
1973,4,23,-0.5349
1973,4,24,-1.4162
1973,4,25,-1.5001
1973,4,26,0.5077
1973,4,27,-1.5245
1973,4,30,-0.2425
